match_id,wc_year,match_date,stage,team,opponent,home_away,scorer,goal_minute_raw,goal_minute_numeric,is_stoppage_time,goal_order_for_team
2018-0002,2018,2018-07-01,Round of 16,Russia,Spain,Away,Artem Dzyuba,42,42,False,1
2018-0003,2018,2018-07-01,Round of 16,Croatia,Denmark,Home,Mario Mandžuki,4,4,False,1
2018-0003,2018,2018-07-01,Round of 16,Denmark,Croatia,Away,Mathias Jørgensen,1,1,False,1
2018-0004,2018,2018-06-30,Round of 16,France,Argentina,Home,Benjamin Pavard,57,57,False,1
2018-0004,2018,2018-06-30,Round of 16,France,Argentina,Home,Kylian Mbappé,64,64,False,2
2018-0004,2018,2018-06-30,Round of 16,France,Argentina,Home,Kylian Mbappé,68,68,False,3
2018-0004,2018,2018-06-30,Round of 16,France,Argentina,Home,Antoine Griezmann,13,13,False,4
2018-0004,2018,2018-06-30,Round of 16,Argentina,France,Away,Ángel Di María,41,41,False,1
2018-0004,2018,2018-06-30,Round of 16,Argentina,France,Away,Gabriel Mercado,48,48,False,2
2018-0004,2018,2018-06-30,Round of 16,Argentina,France,Away,Sergio Agüero,90+3,93,True,3
2018-0005,2018,2018-06-30,Round of 16,Uruguay,Portugal,Home,Edinson Cavani,7,7,False,1
2018-0005,2018,2018-06-30,Round of 16,Uruguay,Portugal,Home,Edinson Cavani,62,62,False,2
2018-0005,2018,2018-06-30,Round of 16,Portugal,Uruguay,Away,Pepe,55,55,False,1
2018-0006,2018,2018-06-28,Group stage,Poland,Japan,Away,Jan Bednarek,59,59,False,1
2018-0007,2018,2018-06-28,Group stage,Colombia,Senegal,Away,Yerry Mina,74,74,False,1
2018-0008,2018,2018-06-28,Group stage,Belgium,England,Away,Adnan Januzaj,51,51,False,1
2018-0009,2018,2018-06-28,Group stage,Tunisia,Panama,Away,Fakhreddine Ben Youssef,51,51,False,1
2018-0009,2018,2018-06-28,Group stage,Tunisia,Panama,Away,Wahbi Khazri,66,66,False,2
2018-0010,2018,2018-06-27,Group stage,Korea Republic,Germany,Home,Kim Young-gwon,90+3,93,True,1
2018-0010,2018,2018-06-27,Group stage,Korea Republic,Germany,Home,Son Heung-min,90+6,96,True,2
2018-0011,2018,2018-06-27,Group stage,Sweden,Mexico,Away,Ludwig Augustinsson,50,50,False,1
2018-0011,2018,2018-06-27,Group stage,Sweden,Mexico,Away,Andreas Granqvist,62,62,False,2
2018-0012,2018,2018-06-27,Group stage,Switzerland,Costa Rica,Home,Blerim Džemaili,31,31,False,1
2018-0012,2018,2018-06-27,Group stage,Switzerland,Costa Rica,Home,Josip Drmic,88,88,False,2
2018-0012,2018,2018-06-27,Group stage,Costa Rica,Switzerland,Away,Kendall Waston,56,56,False,1
2018-0013,2018,2018-06-27,Group stage,Brazil,Serbia,Away,Paulinho,36,36,False,1
2018-0013,2018,2018-06-27,Group stage,Brazil,Serbia,Away,Thiago Silva,68,68,False,2
2018-0014,2018,2018-06-26,Group stage,Peru,Australia,Away,André Carrillo,18,18,False,1
2018-0014,2018,2018-06-26,Group stage,Peru,Australia,Away,Paolo Guerrero,50,50,False,2
2018-0016,2018,2018-06-26,Group stage,Iceland,Croatia,Home,Gylfi Sigurðsson,76,76,False,1
2018-0016,2018,2018-06-26,Group stage,Croatia,Iceland,Away,Milan Badelj,53,53,False,1
2018-0016,2018,2018-06-26,Group stage,Croatia,Iceland,Away,Ivan Periši,90,90,False,2
2018-0017,2018,2018-06-26,Group stage,Nigeria,Argentina,Home,Victor Moses,51,51,False,1
2018-0017,2018,2018-06-26,Group stage,Argentina,Nigeria,Away,Lionel Messi,14,14,False,1
