home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Costa Rica,England,0,0,0,0,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,2014-06-24,Brazil,2014,,,0,0,2014-0001,0,0-0,0,False,Group,2010s,Estádio Governador Magalhães Pinto,Belo Horizonte,Draw,Draw
Spain,Russia,1,3,1,4,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Round of 16,2018-07-01,Russia,2018,,Artem Dzyuba@42,1,0,2018-0002,2,1-1,0,True,Knockout,2010s,Olimpiyskiy stadion Luzhniki,Moskva,Russia,Away win on penalties
Croatia,Denmark,1,3,1,2,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Round of 16,2018-07-01,Russia,2018,Mario Mandžuki@4,Mathias Jørgensen@1,0,0,2018-0003,2,1-1,0,True,Knockout,2010s,Stadion Nizhny Novgorod,Nizhny Novgorod,Croatia,Home win on penalties
France,Argentina,4,0,3,0,42873,"Kazan Arena, Kazan",Round of 16,2018-06-30,Russia,2018,"Benjamin Pavard@57,Kylian Mbappé@64,Kylian Mbappé@68,Antoine Griezmann@13","Ángel Di María@41,Gabriel Mercado@48,Sergio Agüero@90+3",0,0,2018-0004,7,4-3,1,False,Knockout,2010s,Kazan Arena,Kazan,France,Home win
Uruguay,Portugal,2,0,1,0,44287,"Olimpiyskiy Stadion Fisht, Sochi",Round of 16,2018-06-30,Russia,2018,"Edinson Cavani@7,Edinson Cavani@62",Pepe@55,0,0,2018-0005,3,2-1,1,False,Knockout,2010s,Olimpiyskiy Stadion Fisht,Sochi,Uruguay,Home win
Japan,Poland,0,0,1,0,42189,"Volgograd Arena, Volgograd",Group stage,2018-06-28,Russia,2018,,Jan Bednarek@59,0,0,2018-0006,1,0-1,1,False,Group,2010s,Volgograd Arena,Volgograd,Poland,Away win
Senegal,Colombia,0,0,1,0,41970,"Cosmos Arena, Samara",Group stage,2018-06-28,Russia,2018,,Yerry Mina@74,0,0,2018-0007,1,0-1,1,False,Group,2010s,Cosmos Arena,Samara,Colombia,Away win
England,Belgium,0,0,1,0,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,2018-06-28,Russia,2018,,Adnan Januzaj@51,0,0,2018-0008,1,0-1,1,False,Group,2010s,Kaliningrad Stadium,Kaliningrad,Belgium,Away win
Panama,Tunisia,1,0,2,0,37168,"Mordovia Arena, Saransk",Group stage,2018-06-28,Russia,2018,,"Fakhreddine Ben Youssef@51,Wahbi Khazri@66",1,0,2018-0009,3,1-2,1,False,Group,2010s,Mordovia Arena,Saransk,Tunisia,Away win
Korea Republic,Germany,2,0,0,0,41835,"Kazan Arena, Kazan",Group stage,2018-06-27,Russia,2018,"Kim Young-gwon@90+3,Son Heung-min@90+6",,0,0,2018-0010,2,2-0,2,False,Group,2010s,Kazan Arena,Kazan,Korea Republic,Home win
