scorer,goals,tournaments,teams
Miroslav Klose,16,4,Germany
Ronaldo,15,3,Brazil
Gerd Müller,14,2,West Germany
Lionel Messi,13,4,Argentina
Just Fontaine,13,1,France
Pelé,12,4,Brazil
Kylian Mbappé,12,2,France
Jürgen Klinsmann,11,3,"Germany, West Germany"
Sándor Kocsis,11,1,Hungary
Gabriel Batistuta,10,3,Argentina
Grzegorz Lato,10,3,Poland
Gary Lineker,10,2,England
Helmut Rahn,10,2,"Germany, West Germany"
Teófilo Cubillas,10,2,Peru
Thomas Müller,10,2,Germany
Uwe Seeler,9,4,West Germany
David Villa,9,3,Spain
Karl-Heinz Rummenigge,9,3,West Germany
Roberto Baggio,9,3,Italy
Christian Vieri,9,2,Italy
Jairzinho,9,2,Brazil
Paolo Rossi,9,2,Italy
Vavá,9,2,Brazil
Eusébio,9,1,Portugal
Cristiano Ronaldo,8,5,Portugal
Diego Maradona,8,3,Argentina
Neymar,8,3,Brazil
Rudi Völler,8,3,"Germany, West Germany"
Harry Kane,8,2,England
Leônidas,8,2,Brazil
Rivaldo,8,2,Brazil
Óscar Míguez,8,2,Uruguay
Ademir,8,1,Brazil
Guillermo Stábile,8,1,Argentina
Andrzej Szarmach,7,3,Poland
Luis Suárez,7,3,Uruguay
Careca,7,2,Brazil
Hans Schäfer,7,2,"Germany, West Germany"
Johnny Rep,7,2,Netherlands
Lajos Tichy,7,2,Hungary
Oldich Nejedlý,7,2,Czechoslovakia
Arjen Robben,6,3,Netherlands
Asamoah Gyan,6,3,Ghana
Ivan Periši,6,3,Croatia
Lothar Matthäus,6,3,"Germany, West Germany"
Robin van Persie,6,3,Netherlands
Bebeto,6,2,Brazil
Dennis Bergkamp,6,2,Netherlands
Diego Forlán,6,2,Uruguay
Enner Valencia,6,2,Ecuador
György Sárosi,6,2,Hungary
Rivellino,6,2,Brazil
Rob Rensenbrink,6,2,Netherlands
Thierry Henry,6,2,France
Wesley Sneijder,6,2,Netherlands
Zbigniew Boniek,6,2,Poland
Davor Šuker,6,1,Croatia
Erich Probst,6,1,Austria
Helmut Haller,6,1,West Germany
Hristo Stoichkov,6,1,Bulgaria
James Rodríguez,6,1,Colombia
Josef Hügi,6,1,Switzerland
Mario Kempes,6,1,Argentina
Max Morlock,6,1,Germany
Oleg Salenko,6,1,Russia
Salvatore Schillaci,6,1,Italy
Edinson Cavani,5,3,Uruguay
Fernando Hierro,5,3,Spain
Henrik Larsson,5,3,Sweden
Michel Platini,5,3,France
Raúl,5,3,Spain
Tim Cahill,5,3,Australia
Xherdan Shaqiri,5,3,Switzerland
Alessandro Altobelli,5,2,Italy
Fernando Morientes,5,2,Spain
Franz Beckenbauer,5,2,West Germany
Garrincha,5,2,Brazil
Geoff Hurst,5,2,England
Gonzalo Higuaín,5,2,Argentina
Hans Krankl,5,2,Austria
Jon Dahl Tomasson,5,2,Denmark
Juan Alberto Schiaffino,5,2,Uruguay
