match_id,wc_year,match_date,stage,stage_group,host_country,team,opponent,home_away,goals_for,goals_against,goal_difference,penalties_for,penalties_against,result_final,points,attendance
2014-0001,2014,2014-06-24,Group stage,Group,Brazil,Costa Rica,England,Home,0,0,0,0,0,Draw,1,57823
2014-0001,2014,2014-06-24,Group stage,Group,Brazil,England,Costa Rica,Away,0,0,0,0,0,Draw,1,57823
2018-0002,2018,2018-07-01,Round of 16,Knockout,Russia,Spain,Russia,Home,1,1,0,3,4,Loss on penalties,0,78011
2018-0002,2018,2018-07-01,Round of 16,Knockout,Russia,Russia,Spain,Away,1,1,0,4,3,Win on penalties,3,78011
2018-0003,2018,2018-07-01,Round of 16,Knockout,Russia,Croatia,Denmark,Home,1,1,0,3,2,Win on penalties,3,40851
2018-0003,2018,2018-07-01,Round of 16,Knockout,Russia,Denmark,Croatia,Away,1,1,0,2,3,Loss on penalties,0,40851
2018-0004,2018,2018-06-30,Round of 16,Knockout,Russia,France,Argentina,Home,4,3,1,0,0,Win,3,42873
2018-0004,2018,2018-06-30,Round of 16,Knockout,Russia,Argentina,France,Away,3,4,-1,0,0,Loss,0,42873
2018-0005,2018,2018-06-30,Round of 16,Knockout,Russia,Uruguay,Portugal,Home,2,1,1,0,0,Win,3,44287
2018-0005,2018,2018-06-30,Round of 16,Knockout,Russia,Portugal,Uruguay,Away,1,2,-1,0,0,Loss,0,44287
2018-0006,2018,2018-06-28,Group stage,Group,Russia,Japan,Poland,Home,0,1,-1,0,0,Loss,0,42189
2018-0006,2018,2018-06-28,Group stage,Group,Russia,Poland,Japan,Away,1,0,1,0,0,Win,3,42189
2018-0007,2018,2018-06-28,Group stage,Group,Russia,Senegal,Colombia,Home,0,1,-1,0,0,Loss,0,41970
2018-0007,2018,2018-06-28,Group stage,Group,Russia,Colombia,Senegal,Away,1,0,1,0,0,Win,3,41970
2018-0008,2018,2018-06-28,Group stage,Group,Russia,England,Belgium,Home,0,1,-1,0,0,Loss,0,33973
2018-0008,2018,2018-06-28,Group stage,Group,Russia,Belgium,England,Away,1,0,1,0,0,Win,3,33973
2018-0009,2018,2018-06-28,Group stage,Group,Russia,Panama,Tunisia,Home,1,2,-1,0,0,Loss,0,37168
2018-0009,2018,2018-06-28,Group stage,Group,Russia,Tunisia,Panama,Away,2,1,1,0,0,Win,3,37168
2018-0010,2018,2018-06-27,Group stage,Group,Russia,Korea Republic,Germany,Home,2,0,2,0,0,Win,3,41835
2018-0010,2018,2018-06-27,Group stage,Group,Russia,Germany,Korea Republic,Away,0,2,-2,0,0,Loss,0,41835
2018-0011,2018,2018-06-27,Group stage,Group,Russia,Mexico,Sweden,Home,0,3,-3,0,0,Loss,0,33061
2018-0011,2018,2018-06-27,Group stage,Group,Russia,Sweden,Mexico,Away,3,0,3,0,0,Win,3,33061
2018-0012,2018,2018-06-27,Group stage,Group,Russia,Switzerland,Costa Rica,Home,2,2,0,0,0,Draw,1,43319
2018-0012,2018,2018-06-27,Group stage,Group,Russia,Costa Rica,Switzerland,Away,2,2,0,0,0,Draw,1,43319
2018-0013,2018,2018-06-27,Group stage,Group,Russia,Serbia,Brazil,Home,0,2,-2,0,0,Loss,0,44190
2018-0013,2018,2018-06-27,Group stage,Group,Russia,Brazil,Serbia,Away,2,0,2,0,0,Win,3,44190
2018-0014,2018,2018-06-26,Group stage,Group,Russia,Australia,Peru,Home,0,2,-2,0,0,Loss,0,44073
2018-0014,2018,2018-06-26,Group stage,Group,Russia,Peru,Australia,Away,2,0,2,0,0,Win,3,44073
2018-0015,2018,2018-06-26,Group stage,Group,Russia,Denmark,France,Home,0,0,0,0,0,Draw,1,78011
2018-0015,2018,2018-06-26,Group stage,Group,Russia,France,Denmark,Away,0,0,0,0,0,Draw,1,78011
2018-0016,2018,2018-06-26,Group stage,Group,Russia,Iceland,Croatia,Home,1,2,-1,0,0,Loss,0,43472
2018-0016,2018,2018-06-26,Group stage,Group,Russia,Croatia,Iceland,Away,2,1,1,0,0,Win,3,43472
2018-0017,2018,2018-06-26,Group stage,Group,Russia,Nigeria,Argentina,Home,1,2,-1,0,0,Loss,0,64468
2018-0017,2018,2018-06-26,Group stage,Group,Russia,Argentina,Nigeria,Away,2,1,1,0,0,Win,3,64468
2018-0018,2018,2018-06-25,Group stage,Group,Russia,Saudi Arabia,Egypt,Home,2,1,1,0,0,Win,3,36823
2018-0018,2018,2018-06-25,Group stage,Group,Russia,Egypt,Saudi Arabia,Away,1,2,-1,0,0,Loss,0,36823
2018-0019,2018,2018-06-25,Group stage,Group,Russia,Uruguay,Russia,Home,3,0,3,0,0,Win,3,41970
2018-0019,2018,2018-06-25,Group stage,Group,Russia,Russia,Uruguay,Away,0,3,-3,0,0,Loss,0,41970
2018-0020,2018,2018-06-25,Group stage,Group,Russia,Spain,Morocco,Home,2,2,0,0,0,Draw,1,33973
2018-0020,2018,2018-06-25,Group stage,Group,Russia,Morocco,Spain,Away,2,2,0,0,0,Draw,1,33973
2018-0021,2018,2018-06-25,Group stage,Group,Russia,IR Iran,Portugal,Home,1,1,0,0,0,Draw,1,41685
2018-0021,2018,2018-06-25,Group stage,Group,Russia,Portugal,IR Iran,Away,1,1,0,0,0,Draw,1,41685
2018-0022,2018,2018-06-24,Group stage,Group,Russia,England,Panama,Home,6,1,5,0,0,Win,3,43319
2018-0022,2018,2018-06-24,Group stage,Group,Russia,Panama,England,Away,1,6,-5,0,0,Loss,0,43319
2018-0023,2018,2018-06-24,Group stage,Group,Russia,Japan,Senegal,Home,2,2,0,0,0,Draw,1,32572
2018-0023,2018,2018-06-24,Group stage,Group,Russia,Senegal,Japan,Away,2,2,0,0,0,Draw,1,32572
2018-0024,2018,2018-06-24,Group stage,Group,Russia,Poland,Colombia,Home,0,3,-3,0,0,Loss,0,42873
2018-0024,2018,2018-06-24,Group stage,Group,Russia,Colombia,Poland,Away,3,0,3,0,0,Win,3,42873
2018-0025,2018,2018-06-23,Group stage,Group,Russia,Belgium,Tunisia,Home,5,2,3,0,0,Win,3,44190
2018-0025,2018,2018-06-23,Group stage,Group,Russia,Tunisia,Belgium,Away,2,5,-3,0,0,Loss,0,44190
2022-0026,2022,2022-12-18,Final,Final,Qatar,Argentina,France,Home,3,3,0,4,2,Win on penalties,3,88966
2022-0026,2022,2022-12-18,Final,Final,Qatar,France,Argentina,Away,3,3,0,2,4,Loss on penalties,0,88966
2018-0027,2018,2018-06-23,Group stage,Group,Russia,Korea Republic,Mexico,Home,1,2,-1,0,0,Loss,0,43472
2018-0027,2018,2018-06-23,Group stage,Group,Russia,Mexico,Korea Republic,Away,2,1,1,0,0,Win,3,43472
2018-0028,2018,2018-06-23,Group stage,Group,Russia,Germany,Sweden,Home,2,1,1,0,0,Win,3,44287
2018-0028,2018,2018-06-23,Group stage,Group,Russia,Sweden,Germany,Away,1,2,-1,0,0,Loss,0,44287
2018-0029,2018,2018-06-22,Group stage,Group,Russia,Brazil,Costa Rica,Home,2,0,2,0,0,Win,3,64468
2018-0029,2018,2018-06-22,Group stage,Group,Russia,Costa Rica,Brazil,Away,0,2,-2,0,0,Loss,0,64468
