team,matches,tournaments,wins,draws,losses,goals_for,goals_against,points,goal_difference,points_per_match
Brazil,114,22,79,14,21,237,108,251,129,2.2
Argentina,88,18,53,10,25,152,101,169,51,1.92
Italy,83,18,46,17,20,128,77,155,51,1.87
France,73,16,41,9,23,136,85,132,51,1.81
Germany,56,11,38,6,12,126,67,120,59,2.14
England,74,16,33,18,23,104,68,117,36,1.58
West Germany,56,9,34,11,11,106,63,113,43,2.02
Spain,67,16,32,12,23,108,75,108,33,1.61
Netherlands,55,11,31,10,14,96,52,103,44,1.87
Uruguay,59,14,26,12,21,89,76,90,13,1.53
Belgium,51,14,22,9,20,69,74,75,-5,1.47
Sweden,51,12,20,12,19,80,73,72,7,1.41
Mexico,60,17,17,13,30,62,101,64,-39,1.07
Portugal,35,8,18,5,12,61,41,59,20,1.69
Poland,38,9,17,6,15,49,50,57,-1,1.5
Croatia,30,6,17,4,9,43,33,55,10,1.83
Soviet Union,31,7,15,6,10,53,34,51,19,1.65
Switzerland,41,12,14,7,20,55,73,49,-18,1.2
Hungary,32,9,15,3,14,87,57,48,30,1.5
Yugoslavia,33,8,14,6,13,55,42,48,13,1.45
Austria,29,7,12,4,13,43,47,40,-4,1.38
Chile,33,9,11,6,16,40,49,39,-9,1.18
Czechoslovakia,30,8,11,5,14,44,45,38,-1,1.27
United States,37,11,9,8,20,40,66,35,-26,0.95
Paraguay,27,8,8,9,10,30,38,33,-8,1.22
Korea Republic,38,11,8,9,21,39,78,33,-39,0.87
Denmark,23,6,9,5,9,31,29,32,2,1.39
Colombia,22,6,9,2,11,32,30,29,2,1.32
Romania,21,7,8,3,10,30,32,27,-2,1.29
Japan,25,7,7,4,14,25,33,25,-8,1.0
Morocco,23,6,6,6,11,20,27,24,-7,1.04
Costa Rica,21,6,7,3,11,22,39,24,-17,1.14
Cameroon,26,8,5,8,13,22,47,23,-25,0.88
Nigeria,21,6,6,3,12,23,30,21,-7,1.0
Scotland,23,8,4,7,12,25,41,19,-16,0.83
Bulgaria,26,7,4,7,15,22,53,19,-31,0.73
Senegal,12,3,5,3,4,16,17,18,-1,1.5
Peru,18,5,5,3,10,21,33,18,-12,1.0
Russia,14,4,5,2,7,24,20,17,4,1.21
Ecuador,13,4,5,2,6,14,14,17,0,1.31
Ghana,15,4,5,2,8,18,23,17,-5,1.13
Türkiye,10,2,5,1,4,20,17,16,3,1.6
Australia,20,6,4,4,12,17,37,16,-20,0.8
Republic of Ireland,13,3,3,6,4,10,10,15,0,1.15
Northern Ireland,13,3,3,5,5,13,23,14,-10,1.08
Tunisia,18,6,3,5,10,14,26,14,-12,0.78
Saudi Arabia,19,6,4,2,13,14,44,14,-30,0.74
IR Iran,18,6,3,4,11,13,31,13,-18,0.72
Algeria,13,4,3,3,7,13,19,12,-6,0.92
Côte d'Ivoire,9,3,3,1,5,13,14,10,-1,1.11
South Africa,9,3,2,4,3,11,16,10,-5,1.11
Norway,8,3,2,3,3,7,8,9,-1,1.12
Ukraine,5,1,3,0,2,5,7,9,-2,1.8
Germany DR,6,1,2,2,2,5,5,8,0,1.33
FR Yugoslavia,4,1,2,1,1,5,4,7,1,1.75
Wales,8,2,1,4,3,5,10,7,-5,0.88
Serbia,9,3,2,1,6,9,15,7,-6,0.78
Greece,10,3,2,1,7,5,20,7,-15,0.7
Slovakia,4,1,1,1,2,5,7,4,-2,1.0
Slovenia,6,2,1,1,4,5,10,4,-5,0.67
Cuba,3,1,1,1,1,5,12,4,-7,1.33
Korea DPR,7,2,1,1,5,6,21,4,-15,0.57
Bosnia and Herzegovina,3,1,1,0,2,4,4,3,0,1.0
Czech Republic,3,1,1,0,2,3,4,3,-1,1.0
Jamaica,3,1,1,0,2,3,9,3,-6,1.0
New Zealand,6,2,0,3,3,4,14,3,-10,0.5
Honduras,9,3,0,3,6,3,14,3,-11,0.33
Angola,3,1,0,2,1,1,2,2,-1,0.67
Israel,3,1,0,2,1,1,3,2,-2,0.67
Egypt,7,3,0,2,5,5,12,2,-7,0.29
Iceland,3,1,0,1,2,2,5,1,-3,0.33
Kuwait,3,1,0,1,2,2,6,1,-4,0.33
Trinidad and Tobago,3,1,0,1,2,0,4,1,-4,0.33
Bolivia,6,3,0,1,5,1,20,1,-19,0.17
Iraq,3,1,0,0,3,1,4,0,-3,0.0
Togo,3,1,0,0,3,1,6,0,-5,0.0
Qatar,3,1,0,0,3,1,7,0,-6,0.0
Dutch East Indies,1,1,0,0,1,0,6,0,-6,0.0
Serbia and Montenegro,3,1,0,0,3,2,10,0,-8,0.0
Panama,3,1,0,0,3,2,11,0,-9,0.0
United Arab Emirates,3,1,0,0,3,2,11,0,-9,0.0
China PR,3,1,0,0,3,0,9,0,-9,0.0
Canada,6,2,0,0,6,2,12,0,-10,0.0
Haiti,3,1,0,0,3,2,14,0,-12,0.0
Zaire,3,1,0,0,3,0,14,0,-14,0.0
El Salvador,6,2,0,0,6,1,22,0,-21,0.0
