wc_year,host_country,matches,total_goals,goals_per_match,avg_attendance,total_attendance,penalty_shootouts,teams
1930,Uruguay,18,70,3.89,32808,590549,0,13
1934,Italy,17,70,4.12,21353,363000,0,16
1938,France,18,84,4.67,20872,375700,0,15
1950,Brazil,22,88,4.0,47511,1045246,0,13
1954,Switzerland,26,140,5.38,29562,768607,0,16
1958,Sweden,35,126,3.6,23423,819810,0,16
1962,Chile,32,89,2.78,27912,893172,0,16
1966,England,32,89,2.78,48848,1563135,0,16
1970,Mexico,32,95,2.97,50124,1603975,0,16
1974,Germany,38,97,2.55,49099,1865753,0,16
1978,Argentina,38,102,2.68,40679,1545791,0,16
1982,Spain,52,146,2.81,40572,2109723,1,24
1986,Mexico,52,132,2.54,46039,2394031,3,24
1990,Italy,52,115,2.21,48389,2516215,4,24
1994,United States,52,141,2.71,68991,3587538,3,24
1998,France,64,171,2.67,45367,2903477,3,32
2002,"Korea Republic, Japan",64,161,2.52,42271,2705337,2,32
2006,Germany,64,147,2.3,52384,3352605,4,32
2010,South Africa,64,145,2.27,49670,3178856,2,32
2014,Brazil,64,171,2.67,53592,3429873,4,32
2018,Russia,64,169,2.64,47371,3031768,4,32
2022,Qatar,64,172,2.69,53191,3404252,5,32
